date,season,normalized_season,round_number,match_number,home_team,away_team,home_goals,away_goals,official_sign,is_pleno15,official_round_id,match_id,home_team_raw,away_team_raw,home_team_normalized,away_team_normalized,home_team_canonical,away_team_canonical,mapping_status,competition,competition_type,data_quality,source,status,has_pleno15,total_matches,result_by_draw,kickoff,imported_at,prize_info_available,revenue_available
2008-09-10,2008-2009,2008-2009,3,3,Suecia,Hungría,2,1,1,false,official-2008-2009-3,official-2008-2009-3-3,Suecia,Hungría,suecia,hungria,Suecia,Hungría,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-10,2008-2009,2008-2009,3,4,Suiza,Luxemburgo,1,2,2,false,official-2008-2009-3,official-2008-2009-3-4,Suiza,Luxemburgo,suiza,luxemburgo,Suiza,Luxemburgo,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-10,2008-2009,2008-2009,3,5,Letonia,Grecia,0,2,2,false,official-2008-2009-3,official-2008-2009-3-5,Letonia,Grecia,letonia,grecia,Letonia,Grecia,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-10,2008-2009,2008-2009,3,6,Irlanda del Norte,Repub. Checa,0,0,X,false,official-2008-2009-3,official-2008-2009-3-6,Irlanda del Norte,Repub. Checa,irlandanorte,repubcheca,Irlanda del Norte,Repub. Checa,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-10,2008-2009,2008-2009,3,7,Eslovenia,Eslovaquia,2,1,1,false,official-2008-2009-3,official-2008-2009-3-7,Eslovenia,Eslovaquia,eslovenia,eslovaquia,Eslovenia,Eslovaquia,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-10,2008-2009,2008-2009,3,8,Finlandia,Alemania,3,3,X,false,official-2008-2009-3,official-2008-2009-3-8,Finlandia,Alemania,finlandia,alemania,Finlandia,Alemania,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-10,2008-2009,2008-2009,3,9,Turquia,Bélgica,1,1,X,false,official-2008-2009-3,official-2008-2009-3-9,Turquia,Bélgica,turquia,belgica,Turquia,Bélgica,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-10,2008-2009,2008-2009,3,10,Croacia,Inglaterra,1,4,2,false,official-2008-2009-3,official-2008-2009-3-10,Croacia,Inglaterra,croacia,inglaterra,Croacia,Inglaterra,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-10,2008-2009,2008-2009,3,11,Lituania,Austria,2,0,1,false,official-2008-2009-3,official-2008-2009-3-11,Lituania,Austria,lituania,austria,Lituania,Austria,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-10,2008-2009,2008-2009,3,12,Francia,Serbia,2,1,1,false,official-2008-2009-3,official-2008-2009-3-12,Francia,Serbia,francia,serbia,Francia,Serbia,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-10,2008-2009,2008-2009,3,13,Montenegro,Rep. Irlanda,0,0,X,false,official-2008-2009-3,official-2008-2009-3-13,Montenegro,Rep. Irlanda,montenegro,repirlanda,Montenegro,Rep. Irlanda,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
